comments,sentiment_keyword_json,sentiment,emotion
Who is here after the Sonic Movie 2 title annoucement ?,"{'usage': {'text_units': 1, 'text_characters': 55, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.192896, 'joy': 0.203119, 'fear': 0.070876, 'disgust': 0.059617, 'anger': 0.069113}}}}",neutral,joy
I like the fact that this is Paramount Pictures’ most viewed video,"{'usage': {'text_units': 1, 'text_characters': 66, 'features': 2}, 'sentiment': {'document': {'score': 0.910213, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.093012, 'joy': 0.518721, 'fear': 0.065125, 'disgust': 0.341291, 'anger': 0.056646}}}}",positive,joy
"Sonic: This is my power, and I'm not using it to run away anymore, I'm using it to Protect my CHILLIDOG","{'usage': {'text_units': 1, 'text_characters': 103, 'features': 2}, 'sentiment': {'document': {'score': 0.389197, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.599302, 'joy': 0.047066, 'fear': 0.063888, 'disgust': 0.313817, 'anger': 0.058987}}}}",positive,sadness
Today's the anniversary of this amazing revamped trailer. Imma end up watching this movie again for the 5th time,"{'usage': {'text_units': 1, 'text_characters': 112, 'features': 2}, 'sentiment': {'document': {'score': 0.873114, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.096463, 'joy': 0.830296, 'fear': 0.051375, 'disgust': 0.01566, 'anger': 0.011331}}}}",positive,joy
"Paramount: listens to their fans

Every company ever: you weren't supposed to do that","{'usage': {'text_units': 1, 'text_characters': 85, 'features': 2}, 'sentiment': {'document': {'score': 0.594039, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.130589, 'joy': 0.567587, 'fear': 0.023072, 'disgust': 0.213761, 'anger': 0.116749}}}}",positive,joy
Who's here after the sequel got announced?,"{'usage': {'text_units': 1, 'text_characters': 42, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.217969, 'joy': 0.328477, 'fear': 0.056327, 'disgust': 0.100419, 'anger': 0.222811}}}}",neutral,joy
WHAT DO YOU MEAN THIS WAS A YEAR AGO,"{'usage': {'text_units': 1, 'text_characters': 36, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.536601, 'joy': 0.193002, 'fear': 0.109422, 'disgust': 0.038456, 'anger': 0.079534}}}}",neutral,sadness
Happy 1st anniversary for Redesign Sonic movie,"{'usage': {'text_units': 1, 'text_characters': 46, 'features': 2}, 'sentiment': {'document': {'score': 0.934328, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.028655, 'joy': 0.88699, 'fear': 0.013709, 'disgust': 0.016141, 'anger': 0.009244}}}}",positive,joy
Who came back after the Sonic Movie 2 Title Announcement?,"{'usage': {'text_units': 1, 'text_characters': 57, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.172132, 'joy': 0.145009, 'fear': 0.112358, 'disgust': 0.026925, 'anger': 0.120839}}}}",neutral,sadness
"“We changed because the fans wanted”

*everyone liked that*","{'usage': {'text_units': 1, 'text_characters': 59, 'features': 2}, 'sentiment': {'document': {'score': 0.938873, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.209814, 'joy': 0.530076, 'fear': 0.024815, 'disgust': 0.167637, 'anger': 0.088038}}}}",positive,joy
It’s hard to think this came out a year ago.,"{'usage': {'text_units': 1, 'text_characters': 44, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.619051, 'joy': 0.14351, 'fear': 0.164109, 'disgust': 0.052787, 'anger': 0.064976}}}}",neutral,sadness
Probably the best thing to happen in 2020,"{'usage': {'text_units': 1, 'text_characters': 41, 'features': 2}, 'sentiment': {'document': {'score': 0.653626, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.120049, 'joy': 0.735233, 'fear': 0.055872, 'disgust': 0.012808, 'anger': 0.027885}}}}",positive,joy
I can't believe it's been a year since they released this! 🥺🦔💙,"{'usage': {'text_units': 1, 'text_characters': 62, 'features': 2}, 'sentiment': {'document': {'score': -0.77283, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.259554, 'joy': 0.477829, 'fear': 0.053705, 'disgust': 0.02361, 'anger': 0.049285}}}}",negative,joy
Mysterio: “see that wasn’t so hard” 😁,"{'usage': {'text_units': 1, 'text_characters': 37, 'features': 2}, 'sentiment': {'document': {'score': -0.551889, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.249398, 'joy': 0.55673, 'fear': 0.099215, 'disgust': 0.072613, 'anger': 0.001288}}}}",negative,joy
I’m buying a ticket just for the fact that they listened.,"{'usage': {'text_units': 1, 'text_characters': 57, 'features': 2}, 'sentiment': {'document': {'score': 0.374747, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.244739, 'joy': 0.372892, 'fear': 0.028534, 'disgust': 0.195646, 'anger': 0.132454}}}}",positive,joy
"One Year ago history was made. I watch the trailer even though I have watched the movie about 12 times, my brother watching it 23 times. This movie is the greatest video game film of all time.","{'usage': {'text_units': 1, 'text_characters': 192, 'features': 2}, 'sentiment': {'document': {'score': 0.58612, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.207375, 'joy': 0.64885, 'fear': 0.107222, 'disgust': 0.052097, 'anger': 0.025104}}}}",positive,joy
Making the face look more cartoon-shaped than human-shaped made the design actually kind of cute.,"{'usage': {'text_units': 1, 'text_characters': 97, 'features': 2}, 'sentiment': {'document': {'score': 0.933377, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.024477, 'joy': 0.798517, 'fear': 0.053932, 'disgust': 0.064155, 'anger': 0.070835}}}}",positive,joy
Love how this trailer was released around the time the movie was originally supposed to come out! 😂,"{'usage': {'text_units': 1, 'text_characters': 99, 'features': 2}, 'sentiment': {'document': {'score': 0.348222, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.257464, 'joy': 0.522763, 'fear': 0.132388, 'disgust': 0.099578, 'anger': 0.009161}}}}",positive,joy
"1:03  When Sonic fan sees first trailer 2019
1:30  When Sonic fan sees new trailer 2020","{'usage': {'text_units': 1, 'text_characters': 87, 'features': 2}, 'sentiment': {'document': {'score': 0.39322, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.093391, 'joy': 0.507608, 'fear': 0.075738, 'disgust': 0.15125, 'anger': 0.033845}}}}",positive,joy
This movie deserves success for just listening to the fans.,"{'usage': {'text_units': 1, 'text_characters': 59, 'features': 2}, 'sentiment': {'document': {'score': 0.894091, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.020076, 'joy': 0.825414, 'fear': 0.003974, 'disgust': 0.153596, 'anger': 0.017256}}}}",positive,joy
"Happy New Year 2021, and happy year of your 30 anniversary, Sonic! This will be a fantastic year! Thank you SEGA and Paramount!","{'usage': {'text_units': 1, 'text_characters': 127, 'features': 2}, 'sentiment': {'document': {'score': 0.998771, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.005485, 'joy': 0.978431, 'fear': 0.000776, 'disgust': 0.002325, 'anger': 0.006109}}}}",positive,joy
"Sonic 2019: You took everything from me!
Sonic 2020: I don’t even know who you are.","{'usage': {'text_units': 1, 'text_characters': 83, 'features': 2}, 'sentiment': {'document': {'score': -0.784575, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.241344, 'joy': 0.21147, 'fear': 0.15733, 'disgust': 0.069902, 'anger': 0.11117}}}}",negative,sadness
This movie was pretty good tbh. Entertaining at least.,"{'usage': {'text_units': 1, 'text_characters': 54, 'features': 2}, 'sentiment': {'document': {'score': 0.79253, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.112282, 'joy': 0.826115, 'fear': 0.024478, 'disgust': 0.011318, 'anger': 0.018843}}}}",positive,joy
Who’s here after the Sonic Movie 2 Reveal.,"{'usage': {'text_units': 1, 'text_characters': 42, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.254057, 'joy': 0.352967, 'fear': 0.129405, 'disgust': 0.059638, 'anger': 0.063938}}}}",neutral,joy
"“In an extremely handsome package”

*Imagine he said that in the old design*","{'usage': {'text_units': 1, 'text_characters': 76, 'features': 2}, 'sentiment': {'document': {'score': 0.775883, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.326794, 'joy': 0.547294, 'fear': 0.039941, 'disgust': 0.049016, 'anger': 0.090959}}}}",positive,joy
Whose here after The Sonic movie 2 title?,"{'usage': {'text_units': 1, 'text_characters': 41, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.302927, 'joy': 0.156624, 'fear': 0.17082, 'disgust': 0.21606, 'anger': 0.055572}}}}",neutral,sadness
"""Hey look!, its the previous design!!""
Everyone ""1:03""","{'usage': {'text_units': 1, 'text_characters': 54, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.010339, 'joy': 0.630433, 'fear': 0.063136, 'disgust': 0.036813, 'anger': 0.027261}}}}",neutral,joy
The greatest comeback in movie trailer history,"{'usage': {'text_units': 1, 'text_characters': 46, 'features': 2}, 'sentiment': {'document': {'score': 0.954824, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.040745, 'joy': 0.632241, 'fear': 0.178237, 'disgust': 0.021855, 'anger': 0.009655}}}}",positive,joy
"I'm here cuz 1st anniversary Of This: 
sonic movie trailer 2 birthday","{'usage': {'text_units': 1, 'text_characters': 69, 'features': 2}, 'sentiment': {'document': {'score': 0.713858, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.075273, 'joy': 0.799675, 'fear': 0.105502, 'disgust': 0.015653, 'anger': 0.009309}}}}",positive,joy
"2019: this movie isnt going to be that good is it?

2020: *Reverse Uno Card*","{'usage': {'text_units': 1, 'text_characters': 76, 'features': 2}, 'sentiment': {'document': {'score': -0.936307, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.071934, 'joy': 0.366169, 'fear': 0.034352, 'disgust': 0.009823, 'anger': 0.03245}}}}",negative,joy
2019: Why would you throw your life away for this silly little alien.                                            2020: He's my friend,"{'usage': {'text_units': 1, 'text_characters': 133, 'features': 2}, 'sentiment': {'document': {'score': -0.749601, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.423297, 'joy': 0.018454, 'fear': 0.146484, 'disgust': 0.354754, 'anger': 0.439828}}}}",negative,anger
"Sonic The Hedgehog 2 now exists 
Ahhhhhhh yes","{'usage': {'text_units': 1, 'text_characters': 45, 'features': 2}, 'sentiment': {'document': {'score': 0.838522, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.108298, 'joy': 0.210783, 'fear': 0.052292, 'disgust': 0.061442, 'anger': 0.080514}}}}",positive,joy
Who’s Here after the Sonic The Hedgehog 2 teaser title,"{'usage': {'text_units': 1, 'text_characters': 54, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.18664, 'joy': 0.201391, 'fear': 0.072367, 'disgust': 0.059808, 'anger': 0.076578}}}}",neutral,joy
"Yes It Has Been A Year Y’all For This Blue Devil, Can’t Wait For Sonic The Hedgehog 2 on 2022. This Movie Should Get A Academy Award For Being The Best Video Game Movie in History and Best Family Movie of The Year.","{'usage': {'text_units': 1, 'text_characters': 214, 'features': 2}, 'sentiment': {'document': {'score': 0.489143, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.05838, 'joy': 0.806798, 'fear': 0.028064, 'disgust': 0.039042, 'anger': 0.082073}}}}",positive,joy
"Paramount: *actually listen to the community*

Warner/DC: We don't do that here","{'usage': {'text_units': 1, 'text_characters': 79, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.09245, 'joy': 0.616143, 'fear': 0.018638, 'disgust': 0.019355, 'anger': 0.067152}}}}",neutral,joy
Can't believe its been one year since this blessed redesign for Sonic came into our lives.,"{'usage': {'text_units': 1, 'text_characters': 90, 'features': 2}, 'sentiment': {'document': {'score': 0.779715, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.165473, 'joy': 0.710409, 'fear': 0.040944, 'disgust': 0.023316, 'anger': 0.030393}}}}",positive,joy
"Don’t mind me, just waiting for the Sonic 2 trailer.
Edit 2/10/22: We got the official logo for the sequel!","{'usage': {'text_units': 1, 'text_characters': 107, 'features': 2}, 'sentiment': {'document': {'score': -0.580645, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.054987, 'joy': 0.318487, 'fear': 0.408491, 'disgust': 0.065627, 'anger': 0.156652}}}}",negative,fear
Sonic anime is so cute and actor voiced his character so perfectly.,"{'usage': {'text_units': 1, 'text_characters': 67, 'features': 2}, 'sentiment': {'document': {'score': 0.919834, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.149199, 'joy': 0.737871, 'fear': 0.024857, 'disgust': 0.020571, 'anger': 0.028233}}}}",positive,joy
"me: comments about how every comment is saying the same thing.
everyone: wait stop!","{'usage': {'text_units': 1, 'text_characters': 83, 'features': 2}, 'sentiment': {'document': {'score': -0.649721, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.300998, 'joy': 0.127252, 'fear': 0.234497, 'disgust': 0.194329, 'anger': 0.447786}}}}",negative,anger
"Paramount: Re-releases Sonic

The entire internet: *Did you just understand me?*","{'usage': {'text_units': 1, 'text_characters': 80, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.167113, 'joy': 0.044024, 'fear': 0.08124, 'disgust': 0.036941, 'anger': 0.219129}}}}",neutral,anger
Who else is here after the teaser for the sequel?,"{'usage': {'text_units': 1, 'text_characters': 49, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.243409, 'joy': 0.101516, 'fear': 0.149586, 'disgust': 0.062946, 'anger': 0.155072}}}}",neutral,sadness
"Dude anyone notice Sonic was reading a DC Flash comic!?


Lol 😂","{'usage': {'text_units': 1, 'text_characters': 63, 'features': 2}, 'sentiment': {'document': {'score': 0.437702, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.3603, 'joy': 0.379665, 'fear': 0.129133, 'disgust': 0.205044, 'anger': 0.011692}}}}",positive,joy
Who’s here after the sonic 2 reveal,"{'usage': {'text_units': 1, 'text_characters': 35, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.297786, 'joy': 0.208729, 'fear': 0.179355, 'disgust': 0.071287, 'anger': 0.073922}}}}",neutral,sadness
"When you get 100+ pages of homework
2:04","{'usage': {'text_units': 1, 'text_characters': 40, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.253563, 'joy': 0.138054, 'fear': 0.218916, 'disgust': 0.152184, 'anger': 0.313321}}}}",neutral,anger
"*2019:* Ew, wtf is this?!
*2020:* MOM!!! LETS GO SEE THIS MOVIE!","{'usage': {'text_units': 1, 'text_characters': 64, 'features': 2}, 'sentiment': {'document': {'score': -0.791511, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.007755, 'joy': 0.618474, 'fear': 0.014698, 'disgust': 0.249205, 'anger': 0.15584}}}}",negative,joy
This movie makes me want to respond to my comment 5 years later,"{'usage': {'text_units': 1, 'text_characters': 63, 'features': 2}, 'sentiment': {'document': {'score': -0.807779, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.241412, 'joy': 0.351862, 'fear': 0.102836, 'disgust': 0.135638, 'anger': 0.159021}}}}",negative,joy
"THIS MOVIE WEN'T FROM, *WHAT DID YOU DONE TO HIM!* TO *HOLY SH*T LETS GOOO!*

ALSO,THIS IS THE BEST VIDEO GAME AS A MOVIE ALONG SIDE DETECTIVE PIKACHU","{'usage': {'text_units': 1, 'text_characters': 150, 'features': 2}, 'sentiment': {'document': {'score': 0.468389, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.02355, 'joy': 0.690834, 'fear': 0.023135, 'disgust': 0.060854, 'anger': 0.215962}}}}",positive,joy
Is sonic The Hedgehog is on Paramount+,"{'usage': {'text_units': 1, 'text_characters': 38, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.126102, 'joy': 0.175973, 'fear': 0.076208, 'disgust': 0.076148, 'anger': 0.08099}}}}",neutral,joy
You know why you're here.,"{'usage': {'text_units': 1, 'text_characters': 25, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}}}",neutral,sadness
"Paramount: Listens to fans

Every other movie company: Wait that’s illegal","{'usage': {'text_units': 1, 'text_characters': 74, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.160039, 'joy': 0.244672, 'fear': 0.011054, 'disgust': 0.297794, 'anger': 0.466145}}}}",neutral,anger
"This still brings tears to my eyes even a year later.... 
SO good","{'usage': {'text_units': 1, 'text_characters': 65, 'features': 2}, 'sentiment': {'document': {'score': -0.540517, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.606888, 'joy': 0.342069, 'fear': 0.055346, 'disgust': 0.032028, 'anger': 0.019414}}}}",negative,sadness
This was probably just the last movie I saw in theaters before the Pandemic Started.,"{'usage': {'text_units': 1, 'text_characters': 84, 'features': 2}, 'sentiment': {'document': {'score': -0.902052, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.414589, 'joy': 0.255603, 'fear': 0.259429, 'disgust': 0.142769, 'anger': 0.057194}}}}",negative,sadness
"So your telling me, Sonic's powers can be used to conquer the universe?
Hell fucking yeah I'm handing that thing to the authorities. Imperium IRL","{'usage': {'text_units': 1, 'text_characters': 145, 'features': 2}, 'sentiment': {'document': {'score': -0.607749, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.097499, 'joy': 0.196885, 'fear': 0.119403, 'disgust': 0.099156, 'anger': 0.616935}}}}",negative,anger
This movie is actually amazing,"{'usage': {'text_units': 1, 'text_characters': 30, 'features': 2}, 'sentiment': {'document': {'score': 0.99549, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.017234, 'joy': 0.908157, 'fear': 0.025919, 'disgust': 0.019543, 'anger': 0.017613}}}}",positive,joy
He doesn’t look like a sleep paralysis demon anymore,"{'usage': {'text_units': 1, 'text_characters': 52, 'features': 2}, 'sentiment': {'document': {'score': -0.801325, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.637254, 'joy': 0.038556, 'fear': 0.389454, 'disgust': 0.059735, 'anger': 0.110881}}}}",negative,sadness
What attracted Jim Carrey to this project more than anything else was that his daughter was a big fan of the Sonic the Hedgehog games growing up.,"{'usage': {'text_units': 1, 'text_characters': 145, 'features': 2}, 'sentiment': {'document': {'score': 0.373075, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.144241, 'joy': 0.538261, 'fear': 0.013021, 'disgust': 0.225111, 'anger': 0.09864}}}}",positive,joy
Did anyone noticed that sonic has his red shoes in the trailer before the scene when the girl have sonic her red shoes.,"{'usage': {'text_units': 1, 'text_characters': 119, 'features': 2}, 'sentiment': {'document': {'score': -0.765218, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.166194, 'joy': 0.403832, 'fear': 0.108506, 'disgust': 0.392575, 'anger': 0.043005}}}}",negative,joy
"It seems like yesterday that everyone was happy! I can't wait for the second movie.
Paramount is note 10!","{'usage': {'text_units': 1, 'text_characters': 105, 'features': 2}, 'sentiment': {'document': {'score': 0.924453, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.145223, 'joy': 0.783816, 'fear': 0.031316, 'disgust': 0.026751, 'anger': 0.020432}}}}",positive,joy
